n;rounds;time
100;23;0.000023013
100;23;0.00002171
100;30;0.00002084
100;19;0.000020728
100;23;0.000020288
100;22;0.000020218
100;27;0.000021771
100;25;0.000035357
100;22;0.000020889
100;29;0.000020238
100;23;0.000020999
100;21;0.000020699
100;25;0.000020358
100;24;0.000020428
100;27;0.000020128
100;32;0.000020258
100;28;0.000020769
100;27;0.000019537
100;22;0.000019947
100;20;0.000019907
100;25;0.000019847
100;25;0.000020088
100;21;0.000019757
100;28;0.000020268
100;24;0.000019467
100;27;0.000019737
100;28;0.000020158
100;23;0.000019216
100;27;0.000020618
100;24;0.000019546
100;20;0.00002151
100;23;0.00002143
100;21;0.000020389
100;19;0.000020288
100;23;0.000020107
100;19;0.000019697
100;16;0.000019757
100;24;0.000019947
100;26;0.000061977
100;19;0.000020919
100;19;0.0000211
100;25;0.00002125
100;20;0.000020077
100;20;0.000020147
100;20;0.000020068
100;22;0.000020048
100;23;0.000019557
100;24;0.000019877
100;20;0.000019687
100;22;0.000019707
100;25;0.000020749
100;18;0.000019677
100;21;0.000019978
100;22;0.000019637
100;27;0.000020238
100;24;0.000019326
100;17;0.000019457
100;21;0.000019306
100;17;0.000019416
100;23;0.000019396
100;21;0.000022332
100;20;0.00002146
100;20;0.000020398
100;17;0.000020379
100;21;0.000019436
100;20;0.000019977
100;21;0.000020288
100;19;0.000019527
100;26;0.000019877
100;21;0.000033393
100;25;0.00002129
100;18;0.000020178
100;22;0.000020338
100;20;0.000019697
100;19;0.000019357
100;22;0.000019366
100;18;0.000019407
100;23;0.000019897
100;18;0.000019367
100;20;0.000020198
100;21;0.000019586
100;23;0.000019537
100;19;0.000019316
100;18;0.000018805
100;22;0.000019557
100;26;0.000019747
100;18;0.000019136
100;24;0.000019827
100;21;0.000019407
100;21;0.000019196
100;22;0.000023995
100;28;0.000021381
100;24;0.000019576
100;24;0.000020589
100;25;0.000020549
100;25;0.000020538
100;25;0.000019798
100;20;0.000019847
100;23;0.000019627
100;21;0.000019336
100;26;0.000033744
100;27;0.000020198
100;26;0.000020208
100;27;0.000019877
100;23;0.000019316
100;21;0.000019656
100;28;0.000020027
100;26;0.000019537
100;21;0.000019466
100;27;0.000019666
100;25;0.000020418
100;26;0.000019396
100;24;0.000019928
100;26;0.000019246
100;25;0.000019477
100;27;0.000019176
100;22;0.000019446
100;23;0.000019757
100;21;0.000019005
100;21;0.000019327
100;19;0.000023744
100;23;0.00002096
100;17;0.000019957
100;24;0.000020519
100;28;0.000019917
100;22;0.000020118
100;20;0.000019346
100;20;0.000019506
100;21;0.000019226
100;28;0.000019787
100;22;0.000031309
100;22;0.000020639
100;22;0.000018916
100;20;0.000018805
100;21;0.000018825
100;18;0.000018435
100;25;0.000018946
100;21;0.000019196
100;20;0.000018645
100;22;0.000018725
100;24;0.000019527
100;27;0.000020188
100;24;0.000019967
100;24;0.000019206
100;19;0.000019446
100;22;0.000019206
100;23;0.000019086
100;27;0.000019256
100;26;0.000019517
100;25;0.000019396
100;24;0.000021641
100;25;0.00002132
100;28;0.00002101
100;31;0.000021059
100;27;0.000020028
100;26;0.000019927
100;27;0.000019506
100;27;0.000020368
100;25;0.000019636
100;21;0.000019176
100;27;0.000020388
100;32;0.000019797
100;25;0.000019757
100;29;0.000034525
100;32;0.000020699
100;30;0.000019507
100;26;0.000019276
100;23;0.000020248
100;22;0.000020489
100;21;0.000020047
100;26;0.000019978
100;31;0.000020218
100;21;0.000019376
100;28;0.000020018
100;26;0.000020038
100;28;0.000020098
100;27;0.000019396
100;28;0.000019707
100;25;0.000019527
100;25;0.000019887
100;24;0.000021029
100;28;0.000020769
100;23;0.000020589
100;25;0.000020839
100;19;0.000019988
100;20;0.000019907
100;24;0.000019667
100;22;0.000020048
100;28;0.000019987
100;31;0.000019968
100;27;0.000019987
100;27;0.000020007
100;21;0.000020148
100;22;0.000019507
100;26;0.000031399
100;21;0.000022131
100;24;0.000020379
100;25;0.000019737
100;21;0.000019597
100;23;0.000019436
100;20;0.000019156
100;28;0.000019687
100;20;0.000019567
100;28;0.000020158
100;26;0.000019567
100;21;0.000020118
100;20;0.000020047
100;21;0.000019687
100;24;0.000019928
100;25;0.000019817
100;23;0.000022011
100;29;0.000021891
100;20;0.00002132
100;18;0.000021471
100;22;0.000020398
100;23;0.000020208
100;22;0.000020398
100;24;0.00002101
100;21;0.000020298
100;21;0.000020018
100;24;0.000020729
100;21;0.000019987
100;23;0.000019948
100;21;0.000020088
100;23;0.000020318
100;19;0.000019787
100;23;0.000032541
100;21;0.000022282
100;24;0.00002099
100;26;0.000019917
100;24;0.000020409
100;20;0.000021791
100;22;0.000020628
100;21;0.000020529
100;24;0.000020258
100;25;0.000020048
100;22;0.000019897
100;23;0.000019567
100;21;0.000019907
100;24;0.000020027
100;24;0.00002125
100;21;0.000021099
100;30;0.000020168
100;23;0.000020769
100;19;0.000020038
100;26;0.000020378
100;27;0.000020419
100;20;0.000019607
100;24;0.000019987
100;23;0.000019176
100;21;0.000019878
100;18;0.000019326
100;24;0.000019477
100;25;0.000019256
100;26;0.000020168
100;27;0.000019707
100;27;0.000019537
100;26;0.000019667
100;20;0.000032751
100;25;0.000021521
100;28;0.000020528
100;22;0.000020389
100;25;0.000019647
100;23;0.000019606
100;22;0.000019857
100;27;0.000019497
100;21;0.000019266
100;21;0.000019366
100;28;0.000019297
100;20;0.000020578
100;31;0.000022271
100;27;0.0000212
100;28;0.000020599
100;21;0.000020579
100;24;0.000020077
100;22;0.000019426
100;26;0.000019847
100;20;0.000019838
100;24;0.000019496
100;22;0.000019347
100;23;0.000019617
100;22;0.000019226
100;22;0.000019436
100;22;0.000019277
100;22;0.000018815
100;25;0.000019477
100;21;0.000018855
100;25;0.000019306
100;29;0.000020147
100;24;0.000019417
100;24;0.000019567
100;30;0.000032821
100;23;0.00002084
100;22;0.000019837
100;24;0.000019637
100;27;0.000019507
100;26;0.000020077
100;24;0.000019347
100;26;0.000019496
100;23;0.000028694
100;19;0.000022993
100;17;0.0000211
100;21;0.000020268
100;21;0.000019837
100;20;0.000019596
100;22;0.000019437
100;20;0.000019557
100;17;0.000019035
100;24;0.000019596
100;23;0.000019747
100;22;0.000019356
100;20;0.000019336
100;19;0.000018766
100;17;0.000018835
100;19;0.000018805
100;21;0.000019186
100;21;0.000019025
100;19;0.000018886
100;21;0.000018665
100;18;0.000018885
100;16;0.000018215
100;21;0.000018825
100;21;0.000018805
100;16;0.000034885
100;22;0.000026209
100;18;0.000023214
100;21;0.000023494
100;21;0.000024506
100;22;0.000020689
100;20;0.000019016
100;22;0.000021821
100;18;0.00002104
100;24;0.000021631
100;29;0.000023333
100;21;0.000023413
100;18;0.000020107
100;25;0.000020409
100;26;0.000020037
100;21;0.000020168
100;24;0.000020449
100;19;0.000019947
100;21;0.000019828
100;21;0.000019516
100;20;0.000020098
100;23;0.000020158
100;24;0.000019968
100;20;0.000019767
100;23;0.000019877
100;26;0.000019777
100;20;0.000019788
100;23;0.000019536
100;18;0.000020098
100;18;0.000019146
100;19;0.000034124
100;20;0.00002094
100;17;0.000020448
100;22;0.000019527
100;23;0.000020148
100;25;0.000020048
100;23;0.000019366
100;19;0.000020749
100;20;0.000020568
100;18;0.000020399
100;17;0.000020177
100;20;0.000020458
100;17;0.000020869
100;21;0.000023585
100;20;0.000020148
100;19;0.000019797
100;20;0.000019256
100;18;0.000019797
100;20;0.00002129
100;21;0.00002109
100;18;0.000020078
100;18;0.000019106
100;20;0.000019687
100;20;0.000019346
100;20;0.000019076
100;20;0.000019767
100;19;0.000019126
100;19;0.000019547
100;17;0.000019296
100;21;0.000019988
100;17;0.000019076
100;20;0.000019336
100;19;0.000033563
100;19;0.000019647
100;17;0.000019567
100;21;0.000019517
100;19;0.000019386
100;22;0.000022202
100;18;0.000020618
100;19;0.000020419
100;19;0.000020418
100;19;0.000020138
100;20;0.000019837
100;20;0.000022222
100;19;0.000022603
100;21;0.000019436
100;22;0.000019818
100;20;0.000019606
100;21;0.000019587
100;19;0.000019236
100;20;0.000018835
100;18;0.000018905
100;19;0.000019277
100;20;0.000019276
100;17;0.000018966
100;18;0.000019045
100;19;0.000019105
100;23;0.000019437
100;20;0.000018885
100;18;0.000019025
100;22;0.000019537
100;20;0.000019196
100;17;0.000019256
100;19;0.000019166
100;18;0.000031018
100;19;0.000021711
100;19;0.000020007
100;26;0.000022652
100;23;0.000021821
100;21;0.000020839
100;23;0.000020659
100;24;0.000020298
100;28;0.000020919
100;25;0.000020338
100;25;0.000020308
100;24;0.000020298
100;20;0.000023414
100;31;0.000022783
100;23;0.000020097
100;25;0.000020719
100;29;0.000020759
100;23;0.000020319
100;29;0.000020528
100;25;0.000020258
100;25;0.000020499
100;20;0.000019977
100;23;0.00002093
100;31;0.000020709
100;23;0.000020067
100;29;0.000020438
100;21;0.000020058
100;21;0.000019647
100;29;0.000020268
100;30;0.000019827
100;30;0.000020238
100;30;0.000020419
100;30;0.000033523
100;27;0.000023214
100;23;0.00004274
100;22;0.000022232
100;20;0.000021831
100;26;0.000020869
100;27;0.000020629
100;20;0.000020449
100;29;0.000020959
100;27;0.000020338
100;21;0.000020339
100;18;0.000019947
100;29;0.000019857
100;23;0.000019727
100;24;0.000019566
100;26;0.000019818
100;20;0.000019957
100;27;0.000019657
100;19;0.000019296
100;23;0.000019747
100;24;0.000019486
100;24;0.000019076
100;22;0.000019306
100;20;0.000019506
100;28;0.000019807
100;22;0.000019858
100;19;0.000019326
100;25;0.000019727
100;25;0.000019587
100;27;0.000020418
100;27;0.000019748
100;24;0.000022883
100;26;0.000021521
100;19;0.0000216
100;20;0.000021009
100;23;0.000020839
100;26;0.000021571
100;18;0.000020358
100;23;0.000019827
100;18;0.000019968
100;25;0.000020418
100;22;0.000019727
100;21;0.000020127
100;24;0.00002094
100;24;0.000019747
100;19;0.000020128
100;20;0.000019897
100;25;0.000019647
100;24;0.000019918
100;25;0.000019997
100;19;0.000019096
100;19;0.000019346
100;23;0.000019065
100;24;0.000019347
100;27;0.000019917
100;24;0.000019407
100;19;0.000019096
100;20;0.000018995
100;19;0.000019657
100;26;0.000019978
100;17;0.000018885
100;22;0.000023223
100;26;0.000021551
100;26;0.000020779
100;30;0.000020689
100;21;0.000020549
100;20;0.000020318
100;23;0.000020368
100;29;0.000020539
100;20;0.000019797
100;25;0.000019777
100;22;0.00002134
100;25;0.000022413
100;25;0.000020047
100;23;0.000019277
100;23;0.000019576
100;19;0.000019517
100;26;0.000019567
100;25;0.000019537
100;21;0.000018825
100;24;0.000019657
100;27;0.000019226
100;24;0.000019277
100;24;0.000019226
100;27;0.000019917
100;24;0.000019407
100;26;0.000018695
100;29;0.000019607
100;25;0.000019967
100;27;0.000019186
100;22;0.000019176
100;22;0.000023023
100;20;0.00002136
100;23;0.000020508
100;25;0.000020479
100;28;0.000020128
100;26;0.000019647
100;21;0.000019416
100;21;0.000019577
100;23;0.000019627
100;24;0.000019607
100;28;0.000019496
100;24;0.000019457
100;19;0.000019126
100;26;0.000019747
100;20;0.000019617
100;23;0.000019266
100;25;0.000019707
100;25;0.000019788
100;24;0.000019556
100;28;0.000019747
100;28;0.000019987
100;26;0.000018946
100;27;0.000019376
100;22;0.000019156
100;23;0.000019427
100;24;0.000019176
100;20;0.000018805
100;24;0.000019878
100;29;0.000019787
100;27;0.000019727
100;22;0.000023434
100;27;0.000021551
100;22;0.000020468
100;28;0.000021391
100;29;0.000020638
100;21;0.000020738
100;23;0.000021019
100;26;0.000019887
100;26;0.00002088
100;27;0.000019717
100;21;0.000019536
100;32;0.000020177
100;24;0.000019516
100;29;0.000020168
100;27;0.000019898
100;20;0.000019256
100;21;0.000019356
100;29;0.000019497
100;22;0.000019607
100;29;0.000019356
100;25;0.000019206
100;23;0.000019417
100;29;0.000020007
100;22;0.000019576
100;26;0.000020349
100;20;0.000019596
100;24;0.000019407
100;27;0.000019957
100;25;0.000019767
100;27;0.000019687
100;28;0.000024506
100;21;0.000022302
100;27;0.00002126
100;25;0.000020548
100;26;0.000020519
100;23;0.000020138
100;20;0.000019577
100;28;0.000021149
100;24;0.00003197
100;24;0.000020308
100;25;0.000020027
100;23;0.000019868
100;21;0.000019927
100;28;0.000020609
100;26;0.000020148
100;25;0.000019777
100;27;0.000020489
100;26;0.000019877
100;30;0.000020118
100;24;0.000020268
100;24;0.000020168
100;27;0.000020048
100;33;0.00003221
100;24;0.000020369
100;21;0.000019667
100;30;0.000020508
100;27;0.000020248
100;29;0.000019878
100;25;0.000020027
100;29;0.000019848
100;29;0.000022983
100;29;0.00002118
100;26;0.000020549
100;23;0.000019616
100;26;0.000019877
100;19;0.000020108
100;23;0.000020488
100;21;0.000021681
100;27;0.000020358
100;25;0.000019948
100;24;0.000019436
100;20;0.000019347
100;26;0.000019577
100;25;0.000019807
100;23;0.000019627
100;22;0.000019216
100;26;0.000019507
100;22;0.000019897
100;24;0.000019597
100;24;0.000019306
100;25;0.000019757
100;29;0.000022553
100;28;0.000022322
100;22;0.000019326
100;25;0.000019387
100;22;0.000019416
100;25;0.000019447
100;27;0.000019747
100;21;0.000019106
100;24;0.000019476
100;22;0.000023985
100;17;0.000021491
100;20;0.000020418
100;20;0.000020158
100;19;0.000020699
100;20;0.000020118
100;19;0.000019867
100;18;0.000019437
100;21;0.000019596
100;17;0.000019466
100;20;0.000019887
100;18;0.000019466
100;18;0.000019206
100;18;0.000019417
100;16;0.000019486
100;18;0.000019126
100;18;0.000019357
100;23;0.000019687
100;16;0.000019426
100;22;0.000019788
100;22;0.000019667
100;19;0.000018915
100;22;0.000019517
100;20;0.000019466
100;21;0.000020388
100;20;0.000041317
100;22;0.000020348
100;17;0.000020108
100;18;0.000019476
100;20;0.000019397
100;21;0.000024105
100;20;0.000021981
100;21;0.00002123
100;23;0.0000211
100;21;0.000020999
100;21;0.000020318
100;21;0.000019907
100;19;0.000020298
100;17;0.000019827
100;19;0.000019828
100;18;0.000020138
100;24;0.000019967
100;25;0.000020198
100;21;0.000020679
100;19;0.000019998
100;18;0.000020438
100;20;0.000020088
100;23;0.000019967
100;20;0.000019557
100;22;0.000019467
100;18;0.000020478
100;20;0.000019687
100;19;0.000020238
100;18;0.000020749
100;19;0.000023664
100;19;0.000020939
100;17;0.000019577
100;18;0.000019216
100;19;0.000019687
100;19;0.000019737
100;26;0.000023384
100;29;0.000022332
100;28;0.00002122
100;22;0.000020498
100;26;0.000020318
100;26;0.000020369
100;31;0.000020338
100;21;0.000020579
100;27;0.000020488
100;27;0.000019857
100;20;0.000019957
100;28;0.000020148
100;32;0.000020358
100;21;0.000020028
100;29;0.000019917
100;32;0.000020589
100;22;0.000019807
100;32;0.000019687
100;26;0.000020058
100;25;0.000019988
100;28;0.000019707
100;29;0.000019807
100;31;0.000019587
100;24;0.000019577
100;30;0.000020158
100;24;0.000019747
100;31;0.000019887
100;28;0.000020068
100;25;0.000019547
100;31;0.000020368
100;17;0.000023404
100;24;0.00002133
100;24;0.00002107
100;21;0.000020238
100;23;0.000020599
100;20;0.000020117
100;21;0.000019566
100;24;0.000020178
100;22;0.000019527
100;19;0.000019527
100;19;0.000020228
100;23;0.000019977
100;21;0.00002098
100;19;0.000020288
100;23;0.000019997
100;19;0.000019386
100;18;0.000019246
100;20;0.000019627
100;19;0.000020188
100;21;0.000019617
100;19;0.000019937
100;22;0.000020167
100;26;0.000020048
100;17;0.000019717
100;23;0.000019727
100;18;0.000019317
100;23;0.000019396
100;24;0.000019998
100;18;0.000019376
100;22;0.000022583
100;23;0.000024246
100;25;0.000021871
100;23;0.000020979
100;25;0.00002122
100;22;0.000020428
100;26;0.000020167
100;24;0.000020128
100;24;0.000020639
100;26;0.000019757
100;23;0.000019657
100;23;0.000020008
100;24;0.000020278
100;24;0.000019386
100;27;0.000020378
100;25;0.000019897
100;22;0.000019637
100;21;0.000019968
100;19;0.000019406
100;24;0.000019797
100;27;0.000020258
100;21;0.000019647
100;22;0.000019666
100;23;0.000019757
100;25;0.000019687
100;25;0.000019697
100;24;0.000019937
100;23;0.00002134
100;23;0.000024046
100;25;0.000021059
100;26;0.000020328
100;17;0.000021119
100;20;0.000036288
100;20;0.000028934
100;21;0.000022182
100;18;0.000020137
100;18;0.000020207
100;21;0.000020608
100;22;0.000019968
100;23;0.000019737
100;21;0.000019507
100;20;0.000018975
100;21;0.000019517
100;19;0.000019246
100;25;0.000019347
100;19;0.000019967
100;22;0.000019647
100;21;0.000019888
100;18;0.000019206
