n;rounds;time
100;25;0.00002637
100;25;0.000024596
100;21;0.000023625
100;21;0.000023053
100;18;0.000022703
100;23;0.000023574
100;22;0.000023454
100;18;0.000023054
100;27;0.000022632
100;26;0.000023184
100;27;0.000022512
100;29;0.000023825
100;25;0.000082565
100;26;0.000025638
100;26;0.000023775
100;24;0.000023454
100;28;0.000022302
100;23;0.000022843
100;30;0.000023324
100;25;0.000023845
100;22;0.000022342
100;27;0.000022733
100;24;0.000022873
100;26;0.000022822
100;30;0.000022862
100;27;0.000022422
100;21;0.000022272
100;25;0.000022131
100;24;0.000021841
100;20;0.000022242
100;24;0.000025859
100;26;0.000024706
100;19;0.000024226
100;27;0.000024135
100;21;0.000023835
100;24;0.000039083
100;26;0.000024746
100;19;0.000023294
100;20;0.000023614
100;22;0.000022633
100;23;0.000023244
100;21;0.000023524
100;23;0.000023253
100;25;0.000035667
100;24;0.000024856
100;22;0.000023214
100;24;0.000022633
100;20;0.000023594
100;24;0.000023394
100;27;0.000023344
100;24;0.000022943
100;23;0.000022723
100;23;0.000022642
100;26;0.000023244
100;26;0.000022793
100;18;0.000022192
100;21;0.000022402
100;21;0.000022252
100;22;0.000022242
100;22;0.000022241
100;26;0.000027311
100;22;0.000024196
100;25;0.000024426
100;23;0.000022812
100;22;0.000022011
100;23;0.000022152
100;18;0.000022152
100;20;0.000021741
100;20;0.000022131
100;21;0.000021571
100;23;0.000022512
100;25;0.000021911
100;24;0.000021391
100;19;0.00002141
100;24;0.000022242
100;27;0.000022081
100;23;0.00002119
100;23;0.000022392
100;21;0.000021741
100;23;0.000022563
100;25;0.000021801
100;21;0.00002134
100;23;0.000021711
100;24;0.000022011
100;24;0.0000215
100;22;0.000021991
100;21;0.00002154
100;20;0.00002108
100;25;0.0000213
100;20;0.00002148
100;17;0.000027201
100;24;0.000025147
100;25;0.000023815
100;20;0.000023133
100;24;0.000023094
100;21;0.000023965
100;19;0.000023113
100;19;0.000022352
100;22;0.000022372
100;21;0.000022181
100;18;0.000022673
100;18;0.000022322
100;25;0.000022532
100;20;0.000022673
100;18;0.000021941
100;24;0.000022342
100;19;0.000022022
100;18;0.000022692
100;21;0.000022443
100;19;0.000022662
100;16;0.000021741
100;19;0.000021611
100;26;0.000022392
100;21;0.000022452
100;19;0.000022773
100;23;0.000022703
100;23;0.000022141
100;20;0.000021641
100;23;0.000022502
100;22;0.000022843
100;23;0.000027311
100;20;0.000024446
100;23;0.000023865
100;27;0.000025017
100;29;0.000024476
100;25;0.000024105
100;24;0.000023504
100;21;0.000022833
100;26;0.000023414
100;28;0.000022993
100;25;0.000023394
100;23;0.000024626
100;27;0.000023775
100;27;0.000023254
100;24;0.000022642
100;18;0.000022262
100;22;0.000022462
100;21;0.000022552
100;22;0.000022302
100;22;0.000022422
100;19;0.000021881
100;29;0.000023094
100;23;0.000022552
100;24;0.000022262
100;25;0.000022813
100;23;0.000022101
100;27;0.000022352
100;22;0.000022071
100;23;0.000022212
100;21;0.000022542
100;19;0.000027091
100;20;0.000025588
100;23;0.000024636
100;21;0.000023484
100;26;0.000023895
100;27;0.000023254
100;25;0.000023174
100;20;0.000023013
100;20;0.000023354
100;25;0.000023434
100;24;0.000024135
100;21;0.000022743
100;19;0.000023574
100;28;0.000023444
100;23;0.000022752
100;19;0.000023114
100;22;0.000024065
100;20;0.000023354
100;18;0.000022823
100;31;0.000023965
100;29;0.000023164
100;21;0.000023203
100;24;0.000023064
100;20;0.000022993
100;19;0.000022893
100;23;0.000023624
100;29;0.000023655
100;23;0.000038502
100;22;0.000024126
100;20;0.000023213
100;21;0.00002683
100;20;0.000025548
100;21;0.000024105
100;26;0.000024736
100;26;0.000024155
100;24;0.000023283
100;21;0.000023464
100;27;0.000023224
100;22;0.000023083
