n;rounds;depth;time
100;24;22;0.000022302
100;27;25;0.000020909
100;19;18;0.000020458
100;19;17;0.000019757
100;21;19;0.000020028
100;23;22;0.000020288
100;23;22;0.000020519
100;16;14;0.000019266
100;17;15;0.000018785
100;25;23;0.000019577
100;19;18;0.000019246
100;19;17;0.000019707
100;18;17;0.000019507
100;20;19;0.000019046
100;23;22;0.000019957
100;23;22;0.000019547
100;24;22;0.000020178
100;20;18;0.000019717
100;22;21;0.000020008
100;20;19;0.000019446
100;23;22;0.000033974
100;20;19;0.000020248
100;21;19;0.000020008
100;20;18;0.000019897
100;22;21;0.000021059
100;24;23;0.000020168
100;21;19;0.000019617
100;23;22;0.000019356
100;22;21;0.000019186
100;23;22;0.000019616
100;16;15;0.000021169
100;17;15;0.000020148
100;13;11;0.000020058
100;17;16;0.000019367
100;16;14;0.000019075
100;18;17;0.000019527
100;16;14;0.000018655
100;14;13;0.000018515
100;19;18;0.000018995
100;22;21;0.000019326
100;16;14;0.000018785
100;17;15;0.000018344
100;18;17;0.000018755
100;17;15;0.000019536
100;20;18;0.000018986
100;18;16;0.000018775
100;19;17;0.000018806
100;19;18;0.000018725
100;13;12;0.000018344
100;16;15;0.000018405
100;16;14;0.000018494
100;18;16;0.000018685
100;20;19;0.000019095
100;19;18;0.00003152
100;17;15;0.000055824
100;22;21;0.000019888
100;22;20;0.000019106
100;17;16;0.000019236
100;16;14;0.000018885
100;17;15;0.000019056
100;24;22;0.000022051
100;20;17;0.000020799
100;24;21;0.000020528
100;19;17;0.000020649
100;24;22;0.000019997
100;18;16;0.000019316
100;23;20;0.000019627
100;23;20;0.000019356
100;23;20;0.000019547
100;26;23;0.000018916
100;25;23;0.000019917
100;22;19;0.000018956
100;25;23;0.000019476
100;21;19;0.000019938
100;22;20;0.000019366
100;22;19;0.000018785
100;20;18;0.000018856
100;22;20;0.000018915
100;20;18;0.000018846
100;19;17;0.000018935
100;20;17;0.000018966
100;23;21;0.000019146
100;22;20;0.000018645
100;27;24;0.000034985
100;17;14;0.000020008
100;21;18;0.000018815
100;17;14;0.000018886
100;16;13;0.000018565
100;22;19;0.000018965
100;29;26;0.000019877
100;25;23;0.000020819
100;19;17;0.000020118
100;23;22;0.00002128
100;20;19;0.000019967
100;21;20;0.000019717
100;18;17;0.000020399
100;20;19;0.000019727
100;16;15;0.000018685
100;18;17;0.000018515
100;20;18;0.000019516
100;23;22;0.000019076
100;16;15;0.000018976
100;26;24;0.000019897
100;24;22;0.000019807
100;21;20;0.000019166
100;25;23;0.000019327
100;15;13;0.000019216
100;21;20;0.000019035
100;17;16;0.000019277
100;18;17;0.000018735
100;15;14;0.000018825
100;20;19;0.000018795
100;19;17;0.000019006
100;15;14;0.000018825
100;19;18;0.000019056
100;15;14;0.000018825
100;17;16;0.000032682
100;15;13;0.000020007
100;17;16;0.000019787
100;21;19;0.000019216
100;18;17;0.000026519
100;28;24;0.000024907
100;20;19;0.000025718
100;18;15;0.000023885
100;20;19;0.00002148
100;25;24;0.000020097
100;21;17;0.000019086
100;20;19;0.000019396
100;24;23;0.000019647
100;17;16;0.000018775
100;16;15;0.000018184
100;21;20;0.000020869
100;18;17;0.00002117
100;20;19;0.000023133
100;18;15;0.000024717
100;22;21;0.000022832
100;17;14;0.000023544
100;26;22;0.00002142
100;21;20;0.000018725
100;22;21;0.000018825
100;19;18;0.000018665
100;23;22;0.000019115
100;19;18;0.000019707
100;19;18;0.000018665
100;21;20;0.000018946
100;19;18;0.000018946
100;24;23;0.000045034
100;17;16;0.000019837
100;16;13;0.000018836
100;19;15;0.000018865
100;20;19;0.000021029
100;20;19;0.000020729
100;20;19;0.000019607
100;20;19;0.000020278
100;20;19;0.000019917
100;25;23;0.000020359
100;21;20;0.000019196
100;21;20;0.000019576
100;23;21;0.000019607
100;19;18;0.000019958
100;21;20;0.000019677
100;20;19;0.000019586
100;22;21;0.000019687
100;20;19;0.000019276
100;21;20;0.000018965
100;16;15;0.000019156
100;24;23;0.000019887
100;20;19;0.000019667
100;17;16;0.000019186
100;21;20;0.000019687
100;21;20;0.000019307
100;22;21;0.000019747
100;21;20;0.000019376
100;21;20;0.000019116
100;22;21;0.000019927
100;22;20;0.000019858
100;19;18;0.000019136
100;21;20;0.000018935
100;20;19;0.000019447
100;16;14;0.000033212
100;23;21;0.000022812
100;17;15;0.000021381
100;19;17;0.000020598
100;18;16;0.000020198
100;22;20;0.000020198
100;21;19;0.000019797
100;17;15;0.000019367
100;28;26;0.000019797
100;20;18;0.000019476
100;24;22;0.000019537
100;21;19;0.000020458
100;22;20;0.000020569
100;26;24;0.000019847
100;23;21;0.000019928
100;22;20;0.000019176
100;25;23;0.000019506
100;17;15;0.000019377
100;23;21;0.000019516
100;24;22;0.000019737
100;18;16;0.000019367
100;24;22;0.000019647
100;24;22;0.000019757
100;21;19;0.000019246
100;21;19;0.000019246
100;24;22;0.000019386
100;23;21;0.000019557
100;23;21;0.000019537
100;17;15;0.000019046
100;16;14;0.000018905
100;20;18;0.000019396
100;16;12;0.000022482
100;22;19;0.000021671
100;21;19;0.000020468
100;19;16;0.000020007
100;18;16;0.000019707
100;22;20;0.000020378
100;16;14;0.000019898
100;20;17;0.000024486
100;17;15;0.000025007
100;17;14;0.000019616
100;22;19;0.000019216
100;14;12;0.000018985
