n;rounds;time
100;24;0.000024756
100;21;0.000023524
100;32;0.000021701
100;25;0.000022151
100;30;0.00002135
100;24;0.000020388
100;21;0.000020819
100;23;0.000019787
100;27;0.000020639
100;22;0.000020448
100;21;0.000033824
100;21;0.000020488
100;26;0.000020238
100;23;0.000020218
100;22;0.000019928
100;24;0.000019647
100;26;0.000020057
100;20;0.000019998
100;24;0.000019957
100;18;0.000019727
100;22;0.000019828
100;25;0.000020057
100;21;0.000020088
100;25;0.000020028
100;28;0.000020168
100;24;0.000019586
100;24;0.000020087
100;19;0.000019457
100;27;0.000019487
100;28;0.000020127
100;22;0.000022131
100;21;0.00002134
100;20;0.000020619
100;23;0.000020157
100;18;0.000020087
100;21;0.000020078
100;22;0.000020368
100;24;0.000020459
100;19;0.000019486
100;24;0.000019737
100;25;0.000031669
100;21;0.00002144
100;20;0.000019917
100;19;0.000019627
100;20;0.000019176
100;21;0.000019306
100;20;0.000019687
100;22;0.000019196
100;21;0.000019317
100;21;0.000019306
100;22;0.000019407
100;26;0.000019236
100;21;0.000019817
100;23;0.000019396
100;20;0.000018895
100;22;0.000019196
100;19;0.000019006
100;23;0.000019056
100;22;0.000019206
100;19;0.000019767
100;28;0.000022222
100;25;0.000020909
100;20;0.000020157
100;24;0.000020098
100;19;0.000019587
100;24;0.000019787
100;23;0.000019897
100;24;0.000019317
100;23;0.000019406
100;24;0.000019717
100;21;0.000019627
100;23;0.000019056
100;29;0.000019396
100;20;0.00003175
100;24;0.000020699
100;20;0.000019146
100;25;0.000018986
100;18;0.000018815
100;24;0.000018866
100;23;0.000019186
100;23;0.000019176
100;18;0.000019076
100;28;0.000019697
100;17;0.000019296
100;20;0.000019156
100;23;0.000019407
100;21;0.000019115
100;24;0.000018935
100;24;0.000019136
100;21;0.000018816
100;27;0.000022232
100;27;0.00002146
100;25;0.000020489
100;23;0.000020208
100;26;0.000020448
100;24;0.000020228
100;23;0.000019497
100;25;0.000019998
100;25;0.000020017
100;27;0.000019788
100;24;0.000019526
100;28;0.000019567
100;23;0.000020268
100;22;0.000019607
100;29;0.000020378
100;19;0.000019317
100;24;0.000032601
100;29;0.00002132
100;23;0.000020028
100;29;0.000020408
100;25;0.000019978
100;29;0.000020348
100;28;0.000019176
100;24;0.000019597
100;25;0.000019146
100;24;0.000019607
100;27;0.000020048
100;29;0.000020097
100;24;0.000020017
100;29;0.000019767
100;27;0.000022502
100;28;0.000021861
100;28;0.00002101
100;26;0.000020428
100;26;0.000020378
100;27;0.000020718
100;20;0.000019877
100;28;0.000019857
100;23;0.000019928
100;27;0.000020388
100;23;0.000019857
100;23;0.000019838
100;23;0.000019807
100;23;0.000019457
100;25;0.000020238
100;21;0.000019166
100;20;0.000018905
100;21;0.000019016
100;30;0.000020348
100;29;0.000019737
100;21;0.000049342
100;26;0.000020729
100;26;0.000035978
100;25;0.000022622
100;21;0.000019707
100;21;0.000018975
100;19;0.000037641
100;29;0.000025949
100;20;0.000026239
100;24;0.00002116
100;27;0.000022733
100;30;0.000022071
100;25;0.0000217
100;21;0.000021891
100;22;0.00002084
100;20;0.000020278
100;27;0.000020919
100;27;0.000020749
100;23;0.000020388
100;28;0.000020789
100;32;0.000022312
100;23;0.000020468
100;27;0.000020298
100;27;0.000020749
100;27;0.000020569
100;30;0.000020388
100;30;0.000020399
100;26;0.000020478
100;22;0.000036068
100;28;0.000021641
100;24;0.000020338
100;30;0.000020519
100;30;0.000020208
100;31;0.000020789
100;29;0.000020458
100;29;0.000020038
100;28;0.000020659
100;28;0.000019907
100;23;0.000020699
100;29;0.000020819
100;22;0.00002147
100;19;0.000020298
100;21;0.000019597
100;27;0.000019998
100;23;0.000019877
100;18;0.000019467
100;21;0.000019797
100;24;0.000019467
100;20;0.000018665
100;26;0.000019296
100;22;0.000019837
100;21;0.000018966
100;24;0.000019156
100;24;0.000019707
100;24;0.000019226
100;23;0.000019327
100;22;0.000019326
100;21;0.000018835
100;20;0.000018716
100;27;0.000019927
100;22;0.000019276
100;25;0.000032381
100;23;0.000020178
100;21;0.000019657
100;23;0.000019156
100;24;0.000019086
100;20;0.000018976
100;22;0.000018515
100;20;0.000018615
100;20;0.000018735
100;17;0.000021891
100;20;0.00002099
100;20;0.000020578
100;24;0.00002089
100;23;0.000020268
100;27;0.000020729
100;21;0.000020188
100;19;0.000020188
100;20;0.000020558
100;24;0.000019948
100;22;0.000019757
100;20;0.000019046
100;24;0.000020338
100;21;0.000019948
100;23;0.000019957
100;25;0.000020178
100;24;0.000020068
100;25;0.000020448
100;22;0.000020619
100;20;0.000020068
100;20;0.000020538
100;20;0.000019828
100;21;0.000020218
100;21;0.000019857
100;20;0.000034054
100;22;0.00002105
100;24;0.000020378
100;19;0.000020108
100;22;0.000020819
100;24;0.000020889
100;22;0.000022843
100;19;0.000020749
100;21;0.000020599
100;27;0.000020288
100;26;0.000020278
100;29;0.000020298
100;28;0.000020709
100;23;0.000019677
100;26;0.000019747
100;23;0.000019787
100;30;0.000020399
100;28;0.000019757
100;22;0.000019487
100;22;0.000019286
100;25;0.000019567
100;27;0.000019877
100;31;0.000019717
100;31;0.000019747
100;22;0.000019617
100;20;0.000019407
100;21;0.000019807
100;22;0.000019587
100;27;0.000019717
100;30;0.000032241
100;29;0.000020989
100;28;0.000020418
100;21;0.000019336
100;22;0.000019216
100;24;0.000019597
100;27;0.000019787
100;18;0.000021701
100;20;0.00002173
100;17;0.000023053
100;20;0.000023374
100;18;0.000020007
100;19;0.000020028
100;19;0.000020158
100;19;0.000020729
100;23;0.000020338
100;19;0.000019988
100;21;0.000019697
100;26;0.000020999
100;25;0.000019758
100;22;0.000020107
100;18;0.000019778
100;21;0.000019556
100;20;0.000019858
100;17;0.000019867
100;26;0.000020058
100;21;0.000020017
100;19;0.000019577
100;21;0.000019958
100;20;0.000019537
100;19;0.000019937
100;16;0.000019557
100;18;0.000019717
100;24;0.000035076
100;25;0.00002154
100;18;0.000020178
100;16;0.000019597
100;20;0.000021691
100;22;0.00002143
100;22;0.000020048
100;26;0.000020468
100;28;0.000021701
100;23;0.000020569
100;22;0.000020498
100;19;0.000019506
100;22;0.000019507
100;21;0.000019446
100;28;0.000020489
100;27;0.000020408
100;22;0.000019818
100;22;0.000020097
100;24;0.000019868
100;26;0.000020268
100;24;0.000019847
100;24;0.000020198
100;18;0.000019146
100;22;0.000019747
100;25;0.000019888
100;21;0.000019607
100;22;0.000019787
100;19;0.000019577
100;26;0.000019887
100;26;0.000019827
100;22;0.000019537
100;21;0.000019397
100;29;0.000019967
100;21;0.000034335
100;27;0.000022002
100;28;0.0000213
100;20;0.000020889
100;19;0.000020599
100;28;0.000020899
100;29;0.000020709
100;24;0.000020308
100;27;0.000020228
100;25;0.000020409
100;24;0.000019567
100;30;0.000019907
100;25;0.000020729
100;30;0.000020128
100;28;0.000019767
100;23;0.000019847
100;26;0.000019928
100;23;0.000019537
100;28;0.000019907
100;26;0.000020038
100;24;0.000020248
100;25;0.000019677
100;23;0.000019376
100;27;0.000019617
100;30;0.000020168
100;24;0.000019487
100;21;0.000018965
100;25;0.000019596
100;24;0.000019267
100;21;0.000019166
100;28;0.000019787
100;20;0.000022873
100;18;0.0000214
100;23;0.000020769
100;24;0.00002133
100;21;0.000020288
100;25;0.000020078
100;18;0.000019637
100;19;0.000019366
100;22;0.000019236
100;23;0.000019727
100;21;0.000019406
100;20;0.000019226
100;19;0.000018876
100;21;0.000019216
100;23;0.000019306
100;19;0.000019246
100;25;0.000019155
100;17;0.000019366
100;19;0.000019156
100;18;0.000018745
100;19;0.000018545
100;22;0.000019176
100;18;0.000019136
100;22;0.000018675
100;20;0.000019597
100;23;0.000018936
100;19;0.000019126
100;19;0.000019557
100;18;0.000019156
100;23;0.000019106
100;24;0.000023554
100;22;0.0000216
100;20;0.00002103
100;21;0.000020729
100;22;0.000020889
100;22;0.000020078
100;21;0.000019727
100;19;0.000020719
100;18;0.000019957
100;19;0.000019477
100;21;0.000019497
100;21;0.000019406
100;22;0.000019827
100;19;0.000019557
100;19;0.000019306
100;21;0.000019576
100;20;0.000019417
100;22;0.000019667
100;21;0.000019567
100;21;0.000019536
100;23;0.000019778
100;17;0.000019556
100;21;0.000019327
100;23;0.000019466
100;20;0.000018766
100;18;0.000018705
100;20;0.000019567
100;19;0.000019446
100;24;0.000019557
100;21;0.000019356
100;20;0.000023054
100;18;0.000021911
100;20;0.00002139
100;19;0.00002109
100;17;0.000020648
100;23;0.000020859
100;19;0.000019707
100;16;0.000020118
100;18;0.000019757
100;19;0.000020138
100;20;0.000020047
100;21;0.000019748
100;17;0.000019636
100;16;0.000019246
100;19;0.000019436
100;22;0.000019547
100;21;0.000019366
100;22;0.000022613
100;19;0.000021981
100;22;0.000019437
100;22;0.000019466
100;19;0.000019636
100;20;0.000019727
100;17;0.000019366
100;20;0.000019527
100;16;0.000019406
100;20;0.000019286
100;18;0.000019075
100;17;0.000018966
100;20;0.000019427
100;23;0.000023203
100;25;0.000021731
100;25;0.00002114
100;30;0.00002123
100;24;0.000020789
100;29;0.000020048
100;20;0.000020308
100;27;0.000020919
100;21;0.000019988
100;20;0.000019697
100;26;0.000020138
100;22;0.000019537
100;26;0.000020548
100;20;0.000019998
100;22;0.000019486
100;21;0.000019297
100;24;0.000019917
100;22;0.000019216
100;20;0.000019467
100;24;0.000019757
100;21;0.000019918
100;21;0.000018975
