n;rounds;time
100;30;0.000029776
100;30;0.000027311
100;31;0.000024897
100;29;0.000026289
100;22;0.000024947
100;28;0.000024086
100;20;0.000024746
100;33;0.000023294
100;28;0.000024847
100;24;0.000023995
100;30;0.000024105
100;27;0.000024256
100;26;0.000023353
100;27;0.000023554
100;22;0.000055685
100;24;0.000026469
100;30;0.000024906
100;24;0.000023995
100;29;0.000024647
100;27;0.000023794
100;25;0.000024196
100;28;0.000023564
100;31;0.000023745
100;22;0.000023504
100;28;0.000023554
100;28;0.000024005
100;30;0.000023153
100;28;0.000023224
100;27;0.000023083
100;28;0.000023184
100;27;0.000026089
100;22;0.000025268
100;21;0.000024105
100;28;0.000023294
100;21;0.000023714
100;23;0.000022862
100;20;0.000038432
100;25;0.000024706
100;26;0.000023094
100;24;0.000022712
100;25;0.000022984
100;26;0.000022512
100;19;0.000022703
100;27;0.000023113
100;27;0.000022272
100;26;0.000022913
100;28;0.000023735
100;23;0.000022542
100;23;0.000022893
100;24;0.000022442
100;23;0.000022453
100;19;0.000022021
100;30;0.000023324
100;19;0.000022362
100;26;0.000022953
100;24;0.000023003
100;18;0.000022342
100;21;0.000022682
100;21;0.000022122
100;24;0.000022572
100;20;0.000038102
100;21;0.000038783
100;20;0.000023925
100;24;0.000023444
100;21;0.000022562
100;23;0.000022212
100;22;0.000021981
100;23;0.000023264
100;19;0.000022673
100;20;0.000022101
100;21;0.000022543
100;22;0.000022261
100;22;0.000022241
100;20;0.000022032
100;24;0.000022833
100;18;0.00002149
100;21;0.000022002
100;19;0.00002165
100;20;0.000021841
100;22;0.000022933
100;20;0.000021891
100;21;0.000022402
100;25;0.000022222
100;21;0.000021911
100;22;0.000022522
100;20;0.000021911
100;22;0.000022022
100;18;0.00002131
100;21;0.00002155
100;21;0.00002146
100;21;0.00002694
100;22;0.000024576
100;22;0.000023284
100;20;0.000023414
100;22;0.000023645
100;22;0.000024095
100;21;0.000028163
100;21;0.000030227
100;23;0.000023274
100;24;0.000022572
100;22;0.000023033
100;24;0.000022613
100;20;0.000022522
100;21;0.000022753
100;20;0.000022823
100;18;0.000021931
100;18;0.000022352
100;21;0.000022032
100;22;0.000022252
100;22;0.000022642
100;20;0.000022182
100;21;0.000022242
100;18;0.000022252
100;22;0.000022161
100;17;0.000021922
100;19;0.000022432
100;23;0.000022753
100;19;0.000021801
100;19;0.000021841
100;22;0.000022221
100;21;0.000027591
100;22;0.000025368
100;22;0.000024616
100;21;0.000024386
100;23;0.000023805
100;26;0.000024536
100;22;0.000023384
100;22;0.000024105
100;24;0.000023624
100;28;0.000024396
100;21;0.000027231
100;17;0.000032271
100;21;0.000027181
100;21;0.000028033
100;23;0.000029485
100;21;0.000024466
100;25;0.000023975
100;20;0.000023434
100;22;0.000023313
100;21;0.000023584
100;19;0.000023815
100;29;0.000024436
100;19;0.000023524
100;23;0.000024035
100;21;0.000023695
100;23;0.000024526
100;24;0.000023935
100;26;0.000023624
100;20;0.000023464
100;25;0.000023464
100;25;0.000027492
100;28;0.000024736
100;26;0.000024406
100;23;0.000024406
100;30;0.000024657
100;29;0.000023744
100;26;0.000023264
100;29;0.000023885
100;24;0.000022913
100;26;0.000022863
100;28;0.000022613
100;20;0.000022702
100;27;0.000023494
100;24;0.000022923
100;25;0.000022863
100;24;0.000022823
100;23;0.000022532
100;22;0.000022172
100;30;0.000022913
100;23;0.000022893
100;28;0.000023233
100;24;0.000022712
100;22;0.000022633
100;25;0.000023003
100;24;0.000022562
100;26;0.000039233
100;19;0.000023164
100;22;0.000024566
100;28;0.000028794
100;27;0.000027191
100;19;0.000033132
100;19;0.000024667
100;20;0.000023724
100;18;0.000023474
100;19;0.000022773
100;21;0.000022543
100;19;0.000022211
100;17;0.000022302
100;22;0.000023114
100;20;0.000022913
100;24;0.000023224
100;16;0.000022231
100;16;0.000022102
100;21;0.000022753
100;22;0.000022632
100;18;0.000022923
100;23;0.00002708
100;20;0.000049053
100;18;0.000027431
100;18;0.000028243
100;17;0.000027873
100;24;0.000028594
100;18;0.0000269
100;18;0.00002644
100;26;0.000027662
100;17;0.000027081
100;19;0.000028604
100;20;0.000028353
100;24;0.000027572
100;27;0.000027461
100;26;0.000030457
100;23;0.000025158
100;22;0.000023394
100;24;0.000022853
100;20;0.000022843
100;21;0.000023844
100;24;0.000027652
100;23;0.00004756
100;25;0.000023734
100;26;0.000022862
100;25;0.000022261
100;22;0.000022212
100;20;0.000022312
100;23;0.000022633
100;28;0.000022803
100;25;0.000022542
100;20;0.000022723
100;22;0.000022061
100;26;0.000022452
100;22;0.000022221
100;26;0.000022663
100;28;0.000023564
100;25;0.000027843
100;23;0.00002669
100;24;0.00002682
100;28;0.000027342
100;22;0.000029215
100;28;0.000025478
100;23;0.000028834
100;28;0.00002645
100;19;0.000066756
100;18;0.000031429
100;20;0.000030267
100;17;0.000029806
100;23;0.00003207
100;22;0.000030467
100;18;0.000029105
100;17;0.000029516
100;18;0.000031549
100;19;0.000029866
100;21;0.000029486
100;17;0.000030286
100;22;0.000030647
100;20;0.000030127
100;18;0.000031178
100;21;0.000030077
100;22;0.000029385
100;20;0.000029856
100;17;0.000062237
100;22;0.000030477
100;22;0.000027722
100;18;0.000027661
100;20;0.000024015
100;19;0.000022762
100;20;0.00002153
100;21;0.000022041
100;19;0.00002165
100;17;0.000021461
100;20;0.00002145
100;20;0.000021671
100;34;0.000026269
100;24;0.000025127
100;31;0.000024005
100;27;0.000024195
100;31;0.000023935
100;32;0.00002654
100;30;0.000022983
100;29;0.000023474
100;31;0.000023565
100;26;0.000022732
100;31;0.000023193
100;34;0.000022793
100;28;0.000022292
100;36;0.000022672
100;27;0.000023133
100;25;0.000025728
100;23;0.000023575
100;27;0.000022532
100;28;0.000022853
100;31;0.000022402
100;24;0.000022773
100;28;0.000023184
100;34;0.000022702
100;27;0.000022623
100;27;0.000037901
100;38;0.00010918
100;27;0.000035567
100;26;0.000027131
100;31;0.00002641
100;29;0.000024897
100;24;0.000027301
100;21;0.000024786
100;26;0.000024015
100;19;0.000023094
100;27;0.000023103
100;23;0.000023054
100;24;0.000022572
100;23;0.000023384
100;26;0.000022232
100;26;0.000022292
100;27;0.000072793
100;23;0.000027943
100;25;0.000024576
100;17;0.000023494
100;27;0.000023424
100;20;0.000022322
100;20;0.000023034
100;22;0.000023093
100;25;0.000022602
100;22;0.000022161
100;21;0.000021871
100;24;0.000022623
100;21;0.000022091
100;25;0.000022031
100;23;0.000021811
100;24;0.000022683
100;18;0.00002174
100;27;0.00002171
100;22;0.000021932
100;20;0.00002164
100;32;0.000027321
100;27;0.000050504
100;31;0.000029376
100;24;0.000024956
100;22;0.000025197
100;26;0.000024205
100;20;0.000023304
100;23;0.000022953
100;31;0.000024326
100;25;0.000023725
100;33;0.000023524
100;21;0.000023083
100;22;0.000023363
100;30;0.000023745
100;24;0.000023865
100;19;0.000022512
100;23;0.000023374
100;29;0.000022853
100;32;0.000023164
100;29;0.000023815
100;26;0.000023073
100;21;0.000022653
100;28;0.000022913
100;29;0.000022382
100;23;0.000022863
100;26;0.000023384
100;27;0.000023173
100;30;0.000023154
100;28;0.000022713
100;24;0.000022642
100;22;0.00002652
100;21;0.000023824
100;20;0.000024566
100;24;0.000023965
100;17;0.000022763
100;18;0.000022923
100;16;0.000022793
100;22;0.000022472
100;23;0.000022703
100;20;0.000022211
100;17;0.000021561
100;19;0.000022442
100;17;0.000021551
100;21;0.000022101
100;26;0.000022643
100;21;0.000022502
100;19;0.000021471
100;21;0.00002146
100;18;0.00002135
100;19;0.000021901
100;21;0.000022132
100;20;0.000021781
100;20;0.000022312
100;18;0.000021811
100;22;0.000021751
100;18;0.000021039
100;19;0.000022342
100;19;0.000021631
100;19;0.000021561
100;23;0.000022282
100;20;0.000027051
100;25;0.000025698
100;21;0.000024566
100;32;0.000024947
100;24;0.000024075
100;24;0.000024005
100;26;0.000023975
100;26;0.000023174
100;23;0.000022793
100;28;0.000023624
100;22;0.000023174
100;29;0.000023223
100;29;0.000023234
100;29;0.000022973
100;31;0.000023905
100;20;0.000022913
100;25;0.000023765
100;31;0.000023344
100;25;0.000023314
100;27;0.000022953
100;20;0.000022963
100;24;0.000023033
100;22;0.000023765
100;19;0.000023114
100;18;0.000022772
100;23;0.000023234
100;24;0.000023755
100;22;0.000023223
100;24;0.000022862
100;27;0.000023203
100;29;0.00002707
100;22;0.000024426
100;25;0.000024717
100;19;0.000023163
100;19;0.000023695
100;28;0.000024736
100;23;0.000023784
100;26;0.000023665
100;22;0.000023654
100;24;0.000023354
100;28;0.000023985
100;23;0.000022813
100;23;0.000022963
100;28;0.000023464
100;28;0.000023113
100;25;0.000023364
100;24;0.000022813
100;25;0.000023394
100;29;0.000023544
100;20;0.000023344
100;20;0.000036438
100;24;0.000024455
100;25;0.000023193
100;29;0.000023384
100;25;0.000023204
100;27;0.000022943
100;27;0.000023043
100;25;0.000023294
100;25;0.000022462
100;26;0.000037841
100;23;0.000025107
100;25;0.000024817
100;27;0.000024155
100;20;0.000022793
100;24;0.000023474
100;21;0.000022282
100;21;0.000022082
100;19;0.000022372
100;19;0.000022482
100;22;0.000022102
100;20;0.000022572
100;24;0.000022342
100;25;0.000023154
100;21;0.000023103
100;21;0.000022472
100;24;0.000025117
100;24;0.000025127
100;20;0.000022673
100;21;0.000021981
100;27;0.000022432
100;26;0.000022663
100;22;0.000022482
100;23;0.000022613
100;20;0.000022592
100;20;0.000038142
100;23;0.000022833
100;25;0.000022562
100;24;0.000023014
100;26;0.000022562
100;24;0.000022302
100;26;0.000025768
100;21;0.000024757
100;29;0.000024807
100;23;0.000023935
100;21;0.000023544
100;27;0.000023514
100;26;0.000023284
100;30;0.000024045
100;29;0.000023564
100;25;0.000022663
100;25;0.000022913
100;25;0.000023554
100;22;0.000023293
100;27;0.000023154
100;28;0.000023213
100;21;0.000022873
100;26;0.000022592
100;27;0.000022482
100;24;0.000022232
100;23;0.00003739
100;24;0.000024135
100;25;0.000023324
100;22;0.000023504
100;23;0.000073308
100;29;0.000024656
100;27;0.000023735
100;25;0.000022823
100;24;0.000023063
100;24;0.000022983
100;23;0.000022913
100;21;0.00002678
100;24;0.000025518
100;22;0.000023905
100;23;0.000023494
100;22;0.000023394
100;21;0.000023174
100;24;0.000022893
100;21;0.000022572
100;18;0.000022743
100;25;0.000022683
100;25;0.000022392
100;22;0.000038432
100;22;0.000088827
100;21;0.000024015
100;22;0.000022823
100;22;0.000022843
100;27;0.000023595
100;19;0.000022602
100;20;0.000022372
100;23;0.000022903
100;20;0.000024266
100;22;0.000022833
100;20;0.000023133
