n;rounds;depth;time
100;19;18;0.000036849
100;23;22;0.00003773
100;24;23;0.000030157
100;27;26;0.000033142
100;26;25;0.000031199
100;15;13;0.000029395
100;19;18;0.000029475
100;23;22;0.000027261
100;15;14;0.000026991
100;20;19;0.000025077
100;21;20;0.000024977
100;25;24;0.000025257
100;19;18;0.000024957
100;19;18;0.000024716
100;21;20;0.000024857
100;18;17;0.000024436
100;22;21;0.000023915
100;19;18;0.000024797
100;24;23;0.000025638
100;20;19;0.000023895
100;21;20;0.000041608
100;22;21;0.000025037
100;20;19;0.000024376
100;26;25;0.00002652
100;21;20;0.00002707
100;16;15;0.000023744
100;21;20;0.000024937
100;23;22;0.000024135
100;18;17;0.000024977
100;22;21;0.000024757
100;19;17;0.000027992
100;22;21;0.000027231
100;21;20;0.00002634
100;26;25;0.000025818
100;19;17;0.000025989
100;19;17;0.000025518
100;15;14;0.000025287
100;20;19;0.000025588
100;18;16;0.000024857
100;19;18;0.000025458
100;21;20;0.000025327
100;20;19;0.000025248
100;22;21;0.000064361
100;20;19;0.000027682
100;16;14;0.00002649
100;18;16;0.00002669
100;22;20;0.000027141
100;20;18;0.000025928
100;23;21;0.000026089
100;18;16;0.000025839
100;19;18;0.000025668
100;16;14;0.000026089
100;18;17;0.000025317
100;18;17;0.000025277
100;18;16;0.000025287
100;23;22;0.000026139
100;22;21;0.000025718
100;20;18;0.000024846
100;20;19;0.000025819
100;18;17;0.000024947
100;19;17;0.00002688
100;25;23;0.00002658
100;26;24;0.000026469
100;19;16;0.000026068
100;26;24;0.000045355
100;19;17;0.000025148
100;20;18;0.000025167
100;23;21;0.000024856
100;21;19;0.000025748
100;23;21;0.000025548
100;16;13;0.000024816
100;22;20;0.000025669
100;21;19;0.000027271
100;22;20;0.000032371
100;21;19;0.000028283
100;18;16;0.000025487
100;20;17;0.000025127
100;17;14;0.000032841
100;22;19;0.000029736
100;24;22;0.000029646
100;21;19;0.000031479
100;25;22;0.000031349
100;21;18;0.000027662
100;26;23;0.000029766
100;19;16;0.000028764
100;20;17;0.000030667
100;21;19;0.000030978
100;18;15;0.000030618
100;24;22;0.000031429
100;20;18;0.000032832
100;30;28;0.000029355
100;28;26;0.000026981
100;24;22;0.00002646
100;23;21;0.000025558
100;31;29;0.000025938
100;20;18;0.000024987
100;20;18;0.000025188
100;18;16;0.000025037
100;22;20;0.000024886
100;18;16;0.000025328
100;21;19;0.000025718
100;22;20;0.000024706
100;23;21;0.000024646
100;24;22;0.000025057
100;18;16;0.000025428
100;20;18;0.000024996
100;31;29;0.000025137
100;30;28;0.000024937
100;28;26;0.000024886
100;25;23;0.000024386
100;20;18;0.000024626
100;18;16;0.000025017
100;22;20;0.000024546
100;24;22;0.000025558
100;23;21;0.000024987
100;21;19;0.000045065
100;22;20;0.000025828
100;21;19;0.000025017
100;26;24;0.000025498
100;23;21;0.000024616
100;24;23;0.000028193
100;17;16;0.00002668
100;21;20;0.000026049
100;26;25;0.000025768
100;22;21;0.000025308
100;28;27;0.000026309
100;20;19;0.000024917
100;21;20;0.000025107
100;23;22;0.000024917
100;23;22;0.000024767
100;22;21;0.000025778
100;23;22;0.000024917
100;20;19;0.000025027
100;17;16;0.000024476
100;27;26;0.000025017
100;22;21;0.000024606
100;18;17;0.000024877
100;25;24;0.000024666
100;24;23;0.000045585
100;18;17;0.000025187
100;20;19;0.000024716
100;19;18;0.000024516
100;18;17;0.000024757
100;28;27;0.000025508
100;23;22;0.000025207
100;18;17;0.000024516
100;20;19;0.000028073
100;26;25;0.000046517
100;23;22;0.00003184
100;20;19;0.000032771
100;22;20;0.000027341
100;21;19;0.000025869
100;19;17;0.000024716
100;17;14;0.000025709
100;17;14;0.000025317
100;16;14;0.000024717
100;21;19;0.00004311
100;18;15;0.000025958
100;17;15;0.000024807
100;20;17;0.000024526
100;20;17;0.000024446
100;25;22;0.000024806
100;24;21;0.000026991
100;23;20;0.00002661
